match_id,date,venue,team1,team2,home_team,winner,home_team_result,home_win,away_team,team1_is_home,team2_is_home,batting_team_inn1_over6,batting_team_inn1_over10,batting_team_inn1_over15,batting_team_inn1_over20,batting_team_inn2_over6,batting_team_inn2_over10,batting_team_inn2_over15,batting_team_inn2_over20,bowling_team_inn1_over6,bowling_team_inn1_over10,bowling_team_inn1_over15,bowling_team_inn1_over20,bowling_team_inn2_over6,bowling_team_inn2_over10,bowling_team_inn2_over15,bowling_team_inn2_over20,home_is_batting_inn1_over6,home_is_batting_inn1_over10,home_is_batting_inn1_over15,home_is_batting_inn1_over20,home_is_batting_inn2_over6,home_is_batting_inn2_over10,home_is_batting_inn2_over15,home_is_batting_inn2_over20,cum_runs_inn1_over6,cum_runs_inn1_over10,cum_runs_inn1_over15,cum_runs_inn1_over20,cum_runs_inn2_over6,cum_runs_inn2_over10,cum_runs_inn2_over15,cum_runs_inn2_over20,cum_wkts_inn1_over6,cum_wkts_inn1_over10,cum_wkts_inn1_over15,cum_wkts_inn1_over20,cum_wkts_inn2_over6,cum_wkts_inn2_over10,cum_wkts_inn2_over15,cum_wkts_inn2_over20,balls_bowled_inn1_over6,balls_bowled_inn1_over10,balls_bowled_inn1_over15,balls_bowled_inn1_over20,balls_bowled_inn2_over6,balls_bowled_inn2_over10,balls_bowled_inn2_over15,balls_bowled_inn2_over20,run_rate_inn1_over6,run_rate_inn1_over10,run_rate_inn1_over15,run_rate_inn1_over20,run_rate_inn2_over6,run_rate_inn2_over10,run_rate_inn2_over15,run_rate_inn2_over20,is_chasing_inn1_over6,is_chasing_inn1_over10,is_chasing_inn1_over15,is_chasing_inn1_over20,is_chasing_inn2_over6,is_chasing_inn2_over10,is_chasing_inn2_over15,is_chasing_inn2_over20,target_first_innings_inn2_over6,target_first_innings_inn2_over10,target_first_innings_inn2_over15,target_first_innings_inn2_over20,req_runs_inn2_over6,req_runs_inn2_over10,req_runs_inn2_over15,req_runs_inn2_over20,overs_remaining_inn2_over6,overs_remaining_inn2_over10,overs_remaining_inn2_over15,overs_remaining_inn2_over20,balls_remaining_inn2_over6,balls_remaining_inn2_over10,balls_remaining_inn2_over15,balls_remaining_inn2_over20,req_run_rate_inn2_over6,req_run_rate_inn2_over10,req_run_rate_inn2_over15,req_run_rate_inn2_over20,wkts_in_hand_inn1_over6,wkts_in_hand_inn1_over10,wkts_in_hand_inn1_over15,wkts_in_hand_inn1_over20,wkts_in_hand_inn2_over6,wkts_in_hand_inn2_over10,wkts_in_hand_inn2_over15,wkts_in_hand_inn2_over20
897729,2016-01-03,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Sydney Thunder,Brisbane Heat,Brisbane Heat,Win,1,Sydney Thunder,1,0,Sydney Thunder,Sydney Thunder,Sydney Thunder,Sydney Thunder,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Sydney Thunder,Sydney Thunder,Sydney Thunder,Sydney Thunder,False,False,False,False,True,True,True,True,36.0,66.0,124.0,186.0,51.0,74.0,122.0,189.0,2.0,2.0,2.0,5.0,0.0,1.0,3.0,4.0,36.0,60.0,90.0,120.0,36.0,60.0,90.0,120.0,6.0,6.6,8.266666666666667,9.3,8.5,7.4,8.133333333333333,9.45,False,False,False,False,True,True,True,True,186.0,186.0,186.0,186.0,136.0,113.0,65.0,0.0,14.0,10.0,5.0,0.0,84.0,60.0,30.0,0.0,9.714285714285714,11.3,13.0,0.0,8.0,8.0,8.0,5.0,10.0,9.0,7.0,6.0
897731,2016-01-04,"Bellerive Oval, Hobart",Hobart Hurricanes,Melbourne Renegades,Hobart Hurricanes,Melbourne Renegades,Loss,0,Melbourne Renegades,1,0,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Melbourne Renegades,Melbourne Renegades,,,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,,,True,True,True,True,False,False,,,20.0,41.0,94.0,140.0,84.0,118.0,,,3.0,3.0,3.0,5.0,1.0,2.0,,,36.0,60.0,90.0,120.0,36.0,60.0,,,3.333333333333333,4.1,6.266666666666667,7.0,14.0,11.8,,,False,False,False,False,True,True,,,140.0,140.0,,,57.0,23.0,,,14.0,10.0,,,84.0,60.0,,,4.071428571428571,2.3,,,7.0,7.0,7.0,5.0,9.0,8.0,,
897733,2016-01-05,Adelaide Oval,Adelaide Strikers,Perth Scorchers,Adelaide Strikers,Adelaide Strikers,Win,1,Perth Scorchers,1,0,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Perth Scorchers,Perth Scorchers,Perth Scorchers,,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,,True,True,True,True,False,False,False,,45.0,72.0,110.0,174.0,43.0,73.0,126.0,,0.0,0.0,2.0,2.0,3.0,5.0,6.0,,36.0,60.0,90.0,120.0,36.0,60.0,90.0,,7.5,7.2,7.333333333333333,8.7,7.166666666666667,7.3,8.4,,False,False,False,False,True,True,True,,174.0,174.0,174.0,,132.0,102.0,49.0,,14.0,10.0,5.0,,84.0,60.0,30.0,,9.428571428571429,10.2,9.8,,10.0,10.0,8.0,8.0,7.0,5.0,4.0,
897735,2016-01-06,Melbourne Cricket Ground,Melbourne Stars,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,Win,1,Hobart Hurricanes,1,0,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,Melbourne Stars,,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,,False,False,False,False,True,True,True,,31.0,58.0,98.0,124.0,38.0,72.0,126.0,,4.0,4.0,4.0,10.0,2.0,2.0,2.0,,36.0,60.0,90.0,120.0,36.0,60.0,90.0,,5.166666666666667,5.8,6.533333333333333,6.2,6.333333333333333,7.2,8.4,,False,False,False,False,True,True,True,,124.0,124.0,124.0,,87.0,53.0,0.0,,14.0,10.0,5.0,,84.0,60.0,30.0,,6.214285714285714,5.3,0.0,,6.0,6.0,6.0,0.0,8.0,8.0,8.0,
897737,2016-01-07,Sydney Showground Stadium,Sydney Thunder,Perth Scorchers,Sydney Thunder,Perth Scorchers,Loss,0,Perth Scorchers,1,0,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Sydney Thunder,Sydney Thunder,Sydney Thunder,Sydney Thunder,Sydney Thunder,Sydney Thunder,Sydney Thunder,Sydney Thunder,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,False,False,False,False,True,True,True,True,23.0,57.0,112.0,175.0,42.0,56.0,114.0,145.0,2.0,2.0,3.0,5.0,2.0,3.0,5.0,9.0,36.0,60.0,90.0,120.0,36.0,60.0,90.0,120.0,3.8333333333333335,5.7,7.466666666666667,8.75,7.0,5.6,7.6,7.25,False,False,False,False,True,True,True,True,175.0,175.0,175.0,175.0,134.0,120.0,62.0,31.0,14.0,10.0,5.0,0.0,84.0,60.0,30.0,0.0,9.571428571428571,12.0,12.4,inf,8.0,8.0,7.0,5.0,8.0,7.0,5.0,1.0
897739,2016-01-08,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Adelaide Strikers,Brisbane Heat,Adelaide Strikers,Loss,0,Adelaide Strikers,1,0,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Brisbane Heat,Brisbane Heat,Brisbane Heat,,True,True,True,True,False,False,False,,58.0,79.0,121.0,175.0,61.0,88.0,138.0,,1.0,3.0,4.0,6.0,0.0,1.0,1.0,,36.0,60.0,90.0,120.0,36.0,60.0,90.0,,9.666666666666666,7.9,8.066666666666666,8.75,10.166666666666666,8.8,9.2,,False,False,False,False,True,True,True,,175.0,175.0,175.0,,115.0,88.0,38.0,,14.0,10.0,5.0,,84.0,60.0,30.0,,8.214285714285714,8.8,7.6,,9.0,7.0,6.0,4.0,10.0,9.0,9.0,
897741,2016-01-09,"Docklands Stadium, Melbourne",Melbourne Renegades,Melbourne Stars,Melbourne Renegades,Melbourne Stars,Loss,0,Melbourne Stars,1,0,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Stars,Melbourne Stars,Melbourne Stars,,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,,True,True,True,True,False,False,False,,33.0,65.0,99.0,155.0,51.0,81.0,123.0,,1.0,3.0,5.0,6.0,1.0,2.0,2.0,,36.0,60.0,90.0,120.0,36.0,60.0,90.0,,5.5,6.5,6.6,7.75,8.5,8.1,8.2,,False,False,False,False,True,True,True,,155.0,155.0,155.0,,105.0,75.0,33.0,,14.0,10.0,5.0,,84.0,60.0,30.0,,7.5,7.5,6.6,,9.0,7.0,5.0,4.0,9.0,8.0,8.0,
897743,2016-01-10,"Bellerive Oval, Hobart",Hobart Hurricanes,Perth Scorchers,Hobart Hurricanes,Perth Scorchers,Loss,0,Perth Scorchers,1,0,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,False,False,False,False,True,True,True,True,36.0,70.0,123.0,173.0,43.0,70.0,112.0,172.0,1.0,2.0,3.0,5.0,1.0,2.0,4.0,6.0,36.0,60.0,90.0,120.0,36.0,60.0,90.0,120.0,6.0,7.0,8.2,8.65,7.166666666666667,7.0,7.466666666666667,8.6,False,False,False,False,True,True,True,True,173.0,173.0,173.0,173.0,131.0,104.0,62.0,2.0,14.0,10.0,5.0,0.0,84.0,60.0,30.0,0.0,9.357142857142858,10.4,12.4,inf,9.0,8.0,7.0,5.0,9.0,8.0,6.0,4.0
897745,2016-01-10,"Sydney Cricket Ground, Sydney",Sydney Sixers,Brisbane Heat,Sydney Sixers,Brisbane Heat,Loss,0,Brisbane Heat,1,0,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Sydney Sixers,Sydney Sixers,Sydney Sixers,Sydney Sixers,Sydney Sixers,Sydney Sixers,Sydney Sixers,Sydney Sixers,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,False,False,False,False,True,True,True,True,44.0,79.0,129.0,162.0,32.0,64.0,111.0,156.0,2.0,2.0,3.0,8.0,1.0,3.0,4.0,8.0,36.0,60.0,90.0,120.0,36.0,60.0,90.0,120.0,7.333333333333333,7.9,8.6,8.1,5.333333333333333,6.4,7.4,7.8,False,False,False,False,True,True,True,True,162.0,162.0,162.0,162.0,131.0,99.0,52.0,7.0,14.0,10.0,5.0,0.0,84.0,60.0,30.0,0.0,9.357142857142858,9.9,10.4,inf,8.0,8.0,7.0,2.0,9.0,7.0,6.0,2.0
897747,2016-01-11,Sydney Showground Stadium,Sydney Thunder,Melbourne Renegades,Sydney Thunder,Melbourne Renegades,Loss,0,Melbourne Renegades,1,0,Sydney Thunder,Sydney Thunder,Sydney Thunder,Sydney Thunder,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Sydney Thunder,Sydney Thunder,Sydney Thunder,Sydney Thunder,True,True,True,True,False,False,False,False,54.0,95.0,137.0,173.0,48.0,78.0,125.0,176.0,0.0,1.0,2.0,5.0,1.0,2.0,2.0,5.0,36.0,60.0,90.0,120.0,36.0,60.0,90.0,120.0,9.0,9.5,9.133333333333333,8.65,8.0,7.8,8.333333333333334,8.8,False,False,False,False,True,True,True,True,173.0,173.0,173.0,173.0,126.0,96.0,49.0,0.0,14.0,10.0,5.0,0.0,84.0,60.0,30.0,0.0,9.0,9.6,9.8,0.0,10.0,9.0,8.0,5.0,9.0,8.0,8.0,5.0
897749,2016-01-13,Adelaide Oval,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,Adelaide Strikers,Win,1,Hobart Hurricanes,1,0,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,False,False,False,False,True,True,True,True,50.0,72.0,120.0,143.0,39.0,69.0,104.0,146.0,1.0,2.0,4.0,10.0,1.0,2.0,2.0,4.0,36.0,60.0,90.0,120.0,36.0,60.0,90.0,120.0,8.333333333333334,7.2,8.0,7.15,6.5,6.9,6.933333333333334,7.3,False,False,False,False,True,True,True,True,143.0,143.0,143.0,143.0,105.0,75.0,40.0,0.0,14.0,10.0,5.0,0.0,84.0,60.0,30.0,0.0,7.5,7.5,8.0,0.0,9.0,8.0,6.0,0.0,9.0,8.0,8.0,6.0
897751,2016-01-14,Melbourne Cricket Ground,Melbourne Stars,Brisbane Heat,Melbourne Stars,Brisbane Heat,Loss,0,Brisbane Heat,1,0,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,False,False,False,False,True,True,True,True,78.0,96.0,130.0,188.0,24.0,52.0,94.0,132.0,1.0,2.0,3.0,7.0,5.0,5.0,6.0,9.0,36.0,60.0,90.0,120.0,36.0,60.0,90.0,120.0,13.0,9.6,8.666666666666666,9.4,4.0,5.2,6.266666666666667,6.6,False,False,False,False,True,True,True,True,188.0,188.0,188.0,188.0,165.0,137.0,95.0,57.0,14.0,10.0,5.0,0.0,84.0,60.0,30.0,0.0,11.785714285714286,13.7,19.0,inf,9.0,8.0,7.0,3.0,5.0,5.0,4.0,1.0
