match_id,date,venue,innings,batting_team,bowling_team,over_end,cum_runs,cum_wkts,balls_bowled,run_rate,is_chasing,target_first_innings,req_runs,overs_remaining,balls_remaining,req_run_rate,wkts_in_hand,team1,team2,home_team,home_is_batting,winner,team_result,home_team_result
524920,2011-12-21,"Bellerive Oval, Hobart",2,Sydney Sixers,Hobart Hurricanes,6,41,2,36,6.833333333333333,True,169.0,129.0,14.0,84.0,9.214285714285714,8,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,False,Hobart Hurricanes,0,Win
524920,2011-12-21,"Bellerive Oval, Hobart",2,Sydney Sixers,Hobart Hurricanes,10,64,2,60,6.4,True,169.0,106.0,10.0,60.0,10.6,8,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,False,Hobart Hurricanes,0,Win
524920,2011-12-21,"Bellerive Oval, Hobart",2,Sydney Sixers,Hobart Hurricanes,15,94,6,90,6.266666666666667,True,169.0,76.0,5.0,30.0,15.2,4,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,False,Hobart Hurricanes,0,Win
524920,2011-12-21,"Bellerive Oval, Hobart",2,Sydney Sixers,Hobart Hurricanes,20,127,9,120,6.35,True,169.0,43.0,0.0,0.0,inf,1,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,False,Hobart Hurricanes,0,Win
524921,2011-12-22,"Docklands Stadium, Melbourne",1,Melbourne Renegades,Perth Scorchers,6,53,0,36,8.833333333333334,False,,,,,,10,Melbourne Renegades,Perth Scorchers,Melbourne Renegades,True,Perth Scorchers,0,Loss
524921,2011-12-22,"Docklands Stadium, Melbourne",1,Melbourne Renegades,Perth Scorchers,10,89,0,60,8.9,False,,,,,,10,Melbourne Renegades,Perth Scorchers,Melbourne Renegades,True,Perth Scorchers,0,Loss
524921,2011-12-22,"Docklands Stadium, Melbourne",1,Melbourne Renegades,Perth Scorchers,15,140,2,90,9.333333333333334,False,,,,,,8,Melbourne Renegades,Perth Scorchers,Melbourne Renegades,True,Perth Scorchers,0,Loss
524921,2011-12-22,"Docklands Stadium, Melbourne",1,Melbourne Renegades,Perth Scorchers,20,188,3,120,9.4,False,,,,,,7,Melbourne Renegades,Perth Scorchers,Melbourne Renegades,True,Perth Scorchers,0,Loss
524921,2011-12-22,"Docklands Stadium, Melbourne",2,Perth Scorchers,Melbourne Renegades,6,50,0,36,8.333333333333334,True,188.0,139.0,14.0,84.0,9.928571428571429,10,Melbourne Renegades,Perth Scorchers,Melbourne Renegades,False,Perth Scorchers,1,Loss
524921,2011-12-22,"Docklands Stadium, Melbourne",2,Perth Scorchers,Melbourne Renegades,10,96,1,60,9.6,True,188.0,93.0,10.0,60.0,9.3,9,Melbourne Renegades,Perth Scorchers,Melbourne Renegades,False,Perth Scorchers,1,Loss
524921,2011-12-22,"Docklands Stadium, Melbourne",2,Perth Scorchers,Melbourne Renegades,15,149,1,90,9.933333333333334,True,188.0,40.0,5.0,30.0,8.0,9,Melbourne Renegades,Perth Scorchers,Melbourne Renegades,False,Perth Scorchers,1,Loss
524921,2011-12-22,"Docklands Stadium, Melbourne",2,Perth Scorchers,Melbourne Renegades,20,192,2,120,9.6,True,188.0,0.0,0.0,0.0,0.0,8,Melbourne Renegades,Perth Scorchers,Melbourne Renegades,False,Perth Scorchers,1,Loss
